Technique Name,Set,Fold number,Accuracy,Precision,Recall,F1 Score
DNN,Train,1,0.991,0.991,0.991,0.991
DNN,Test,1,0.9785,0.9783,0.9784,0.9783
DNN,Train,2,0.9952,0.9951,0.9952,0.9952
DNN,Test,2,0.9798,0.9797,0.9797,0.9797
DNN,Train,3,0.9971,0.9971,0.997,0.997
DNN,Test,3,0.9804,0.9804,0.9802,0.9803
DNN,Train,4,0.9973,0.9973,0.9974,0.9973
DNN,Test,4,0.9813,0.9812,0.9812,0.9812
DNN,Train,5,0.9975,0.9974,0.9975,0.9974
DNN,Test,5,0.9812,0.9811,0.9811,0.9811
DNN,Train,6,0.9984,0.9984,0.9984,0.9984
DNN,Test,6,0.9829,0.9828,0.9828,0.9828
CNN,Train,1,0.9979,0.9979,0.9979,0.9979
CNN,Test,1,0.9938,0.9938,0.9937,0.9938
CNN,Train,2,0.9991,0.9991,0.9991,0.9991
CNN,Test,2,0.9944,0.9944,0.9943,0.9943
CNN,Train,3,0.9995,0.9996,0.9995,0.9995
CNN,Test,3,0.9932,0.9932,0.993,0.9931
CNN,Train,4,0.9998,0.9998,0.9998,0.9998
CNN,Test,4,0.9931,0.9931,0.993,0.9931
CNN,Train,5,0.9999,0.9999,0.9999,0.9999
CNN,Test,5,0.993,0.993,0.9928,0.9929
CNN,Train,6,0.9998,0.9998,0.9998,0.9998
CNN,Test,6,0.9947,0.9946,0.9946,0.9946
